date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:57	102040/102040	---M--	200	added ('OK')	font/woff2	etag:W/%2218e98-GdaKpkk2w1II4Wt+0UU98HzTFXA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.0/font/fonts/bootstrap-icons.woff2?e2f6e48459d8b0f394eea57aba940179	C:/Kaustubh/aa/cdn.jsdelivr.net/npm/bootstrap-icons@1.8.0/font/fonts/bootstrap-iconsbe27.woff2	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.0/font/bootstrap-icons.css)
23:51:58	136700/136700	---M--	200	added ('OK')	font/woff	etag:W/%22215fc-YvkxeQSL8A1pAjMgcb7dN8I7KiE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.0/font/fonts/bootstrap-icons.woff?e2f6e48459d8b0f394eea57aba940179	C:/Kaustubh/aa/cdn.jsdelivr.net/npm/bootstrap-icons@1.8.0/font/fonts/bootstrap-iconsbe27.woff	(from https://cdn.jsdelivr.net/npm/bootstrap-icons@1.8.0/font/bootstrap-icons.css)
23:51:58	120724/120724	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:%221d794-66432c83-46b1fca912d576f3;gz%22	https://fortunearchitects.github.io/plugins/Ionicons/fonts/ionicons.eot?v=2.0.0	C:/Kaustubh/aa/fortunearchitects.github.io/plugins/Ionicons/fonts/ionicons28b5.eot	(from https://fortunearchitects.github.io/plugins/Ionicons/css/ionicons.min.css)
23:51:58	188508/188508	---M-Z	200	added ('OK')	application/x-font-ttf	etag:%222e05c-66432c83-e1b25b983343ea0;gz%22	https://fortunearchitects.github.io/plugins/Ionicons/fonts/ionicons.ttf?v=2.0.0	C:/Kaustubh/aa/fortunearchitects.github.io/plugins/Ionicons/fonts/ionicons28b5.ttf	(from https://fortunearchitects.github.io/plugins/Ionicons/css/ionicons.min.css)
23:51:58	67904/67904	---M--	200	added ('OK')	application/font-woff	etag:%2210940-66432c83-3f377baecac5559;;;%22	https://fortunearchitects.github.io/plugins/Ionicons/fonts/ionicons.woff?v=2.0.0	C:/Kaustubh/aa/fortunearchitects.github.io/plugins/Ionicons/fonts/ionicons28b5.woff	(from https://fortunearchitects.github.io/plugins/Ionicons/css/ionicons.min.css)
23:51:59	333834/333834	---M-Z	200	added ('OK')	image/svg+xml	etag:%225180a-66432c83-f28f95c238851dd1;gz%22	https://fortunearchitects.github.io/plugins/Ionicons/fonts/ionicons.svg?v=2.0.0	C:/Kaustubh/aa/fortunearchitects.github.io/plugins/Ionicons/fonts/ionicons28b5.svg	(from https://fortunearchitects.github.io/plugins/Ionicons/css/ionicons.min.css)
23:51:59	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-66278447-cfd574d673812869;gz%22	https://fortunearchitects.github.io/img/featue-bg.jpg	C:/Kaustubh/aa/fortunearchitects.github.io/img/featue-bg.jpg	(from https://fortunearchitects.github.io/css/style.css)
23:52:00	2457/2457	---M-Z	404	error ('Not%20Found')	text/html	etag:%22999-66278447-cfd574d673812869;gz%22	https://fortunearchitects.github.io/images/backgrounds/coming-soon.jpg	C:/Kaustubh/aa/fortunearchitects.github.io/images/backgrounds/coming-soon.2d.delayed	(from https://fortunearchitects.github.io/css/style.css)
23:52:00	3012078/3012078	---M--	200	added ('OK')	image/jpeg	etag:%222df5ee-66432c81-1bbc6af81ec4bb63;;;%22	https://fortunearchitects.github.io/images/slider-bg.jpg	C:/Kaustubh/aa/fortunearchitects.github.io/images/slider-bg.jpg	(from https://fortunearchitects.github.io/css/style.css)
23:52:00	213494/213494	---M--	200	added ('OK')	image/jpeg	etag:%22341f6-66432c81-6da0b7404d2244e0;;;%22	https://fortunearchitects.github.io/images/portfolio/work1.jpg	C:/Kaustubh/aa/fortunearchitects.github.io/images/portfolio/work1.jpg	(from https://fortunearchitects.github.io/portfolio.html)
23:52:00	1669896/1669896	---M--	200	added ('OK')	image/jpeg	etag:%22197b08-66432c81-660cea0bcf3bb299;;;%22	https://fortunearchitects.github.io/images/featue-bg.jpg	C:/Kaustubh/aa/fortunearchitects.github.io/images/featue-bg.jpg	(from https://fortunearchitects.github.io/css/style.css)
23:52:00	64366/64366	---M--	200	added ('OK')	image/jpeg	etag:%22fb6e-66432c81-b03bf9b091497736;;;%22	https://fortunearchitects.github.io/images/portfolio/work2.jpg	C:/Kaustubh/aa/fortunearchitects.github.io/images/portfolio/work2.jpg	(from https://fortunearchitects.github.io/portfolio.html)
23:52:01	209475/209475	---M--	200	added ('OK')	image/jpeg	etag:%2233243-66432c81-3a28e67df0263e42;;;%22	https://fortunearchitects.github.io/images/portfolio/work3.jpg	C:/Kaustubh/aa/fortunearchitects.github.io/images/portfolio/work3.jpg	(from https://fortunearchitects.github.io/portfolio.html)
23:52:01	3026516/3026516	---M--	200	added ('OK')	image/jpeg	etag:%222e2e54-66432c81-25a39840546ccf05;;;%22	https://fortunearchitects.github.io/images/call-to-action-bg.jpg	C:/Kaustubh/aa/fortunearchitects.github.io/images/call-to-action-bg.jpg	(from https://fortunearchitects.github.io/css/style.css)
23:52:01	128462/128462	---M--	200	added ('OK')	image/jpeg	etag:%221f5ce-66432c81-35c8723a74cfef96;;;%22	https://fortunearchitects.github.io/images/portfolio/work4.jpg	C:/Kaustubh/aa/fortunearchitects.github.io/images/portfolio/work4.jpg	(from https://fortunearchitects.github.io/portfolio.html)
23:52:01	49104/49104	---M--	200	added ('OK')	image/jpeg	etag:%22bfd0-66432c81-51b6fbd62e5df002;;;%22	https://fortunearchitects.github.io/images/portfolio/work5.jpg	C:/Kaustubh/aa/fortunearchitects.github.io/images/portfolio/work5.jpg	(from https://fortunearchitects.github.io/portfolio.html)
